seoulDate,seoulConfirmed,allDate,allConfirmed,addConfirmed
2021.12.03.00,160873,2021.12.03.00,462555,4944
2021.12.02.00,158774,2021.12.02.00,457612,5266
2021.12.01.00,156507,2021.12.01.00,452350,5123
2021.11.30.00,154286,2021.11.30.00,447230,3032
2021.11.29.00,153100,2021.11.29.00,444200,3309
2021.11.28.00,151711,2021.11.28.00,440896,3928
2021.11.27.00,150035,2021.11.27.00,436968,4068
2021.11.26.00,148147,2021.11.26.00,432901,3901
2021.11.25.00,146406,2021.11.25.00,429002,3938
2021.11.24.00,144647,2021.11.24.00,425065,4116
2021.11.23.00,142913,2021.11.23.00,420950,2699
2021.11.22.00,141748,2021.11.22.00,418252,2827
2021.11.21.00,140470,2021.11.21.00,415425,3120
2021.11.20.00,139154,2021.11.20.00,412311,3212
2021.11.19.00,137777,2021.11.19.00,409099,3034
2021.11.18.00,136376,2021.11.18.00,406065,3292
2021.11.17.00,134948,2021.11.17.00,402775,3187
2021.11.16.00,133513,2021.11.16.00,399591,2125
2021.11.15.00,132668,2021.11.15.00,397466,2006
2021.11.08.00,126241,2021.11.08.00,381694,1760
2021.11.07.00,125533,2021.11.07.00,379935,2224
2021.11.06.00,124685,2021.11.06.00,377712,2248
2021.11.05.00,123769,2021.11.05.00,375464,2344
2021.11.04.00,122789,2021.11.04.00,373120,2482
2021.11.03.00,121843,2021.11.03.00,370640,2667
2021.11.02.00,120840,2021.11.02.00,367974,1589
2021.11.01.00,120240,2021.11.01.00,366386,1686
2021.10.31.00,119594,2021.10.31.00,364700,2061
2021.10.30.00,118834,2021.10.30.00,362639,2104
2021.10.29.00,118128,2021.10.29.00,360536,2124
2021.10.28.00,117358,2021.10.28.00,358412,2111
2021.10.27.00,116572,2021.10.27.00,356305,1952
2021.10.26.00,115844,2021.10.26.00,354355,1266
2021.10.25.00,115417,2021.10.25.00,353089,1190
2021.10.24.00,114962,2021.10.24.00,351899,1423
2021.10.23.00,114442,2021.10.23.00,350476,1508
2021.10.22.00,113891,2021.10.22.00,348969,1440
2021.10.21.00,113372,2021.10.21.00,347529,1441
2021.10.20.00,112866,2021.10.20.00,346088,1571
2021.10.19.00,112363,2021.10.19.00,344518,1073
2021.10.18.00,112065,2021.10.18.00,343445,1050
2021.10.17.00,111710,2021.10.17.00,342396,1420
2021.10.16.00,111205,2021.10.16.00,340978,1618
2021.10.15.00,110620,2021.10.15.00,339361,1684
2021.10.14.00,109940,2021.10.14.00,337679,1940
2021.10.13.00,109195,2021.10.13.00,335742,1584
2021.10.12.00,108617,2021.10.12.00,334163,1347
2021.10.11.00,108135,2021.10.11.00,332816,1297
2021.10.10.00,107624,2021.10.10.00,331519,1594
2021.10.09.00,107041,2021.10.09.00,329925,1953
2021.10.08.00,106332,2021.10.08.00,327976,2176
2021.10.07.00,105558,2021.10.07.00,325804,2427
2021.10.06.00,104723,2021.10.06.00,323379,2028
2021.10.05.00,104033,2021.10.05.00,321352,1575
2021.10.04.00,103512,2021.10.04.00,319777,1673
2021.10.03.00,102939,2021.10.03.00,318104,2085
2021.10.02.00,102204,2021.10.02.00,316020,2248
2021.10.01.00,101411,2021.10.01.00,313773,2486
2021.09.30.00,100495,2021.09.30.00,311289,2564
2021.09.29.00,99550,2021.09.29.00,308725,2885
2021.09.28.00,98497,2021.09.28.00,305842,2289
2021.09.27.00,97655,2021.09.27.00,303553,2383
2021.09.26.00,96877,2021.09.26.00,301172,2771
2021.09.25.00,95949,2021.09.25.00,298402,3273
2021.09.24.00,94728,2021.09.24.00,295132,2434
2021.09.23.00,93821,2021.09.23.00,292699,1716
2021.09.22.00,93176,2021.09.22.00,290983,1720
2021.09.21.00,92532,2021.09.21.00,289263,1729
2021.09.20.00,91856,2021.09.20.00,287536,1605
2021.09.19.00,91273,2021.09.19.00,285931,1910
2021.09.18.00,90532,2021.09.18.00,284022,2087
2021.09.17.00,89829,2021.09.17.00,281938,2008
2021.09.16.00,89083,2021.09.16.00,279930,1943
2021.09.15.00,88364,2021.09.15.00,277989,2080
2021.09.14.00,87556,2021.09.14.00,275910,1497
2021.09.13.00,87018,2021.09.13.00,274415,1433
2021.09.12.00,86462,2021.09.12.00,272982,1755
2021.09.11.00,85804,2021.09.11.00,271227,1865
2021.09.10.00,85145,2021.09.10.00,269362,1892
2021.09.09.00,84475,2021.09.09.00,267470,2049
2021.09.08.00,83808,2021.09.08.00,265423,2050
2021.09.07.00,83138,2021.09.07.00,263374,1597
2021.09.06.00,82657,2021.09.06.00,261778,1375
2021.09.05.00,82193,2021.09.05.00,260403,1490
2021.09.04.00,81685,2021.09.04.00,258913,1804
2021.09.03.00,81119,2021.09.03.00,257110,1709
2021.09.02.00,80577,2021.09.02.00,255401,1961
2021.09.01.00,80019,2021.09.01.00,253445,2025
2021.08.31.00,79354,2021.08.31.00,251421,1372
2021.08.30.00,78899,2021.08.30.00,250051,1487
2021.08.29.00,78455,2021.08.29.00,248568,1619
2021.08.28.00,77940,2021.08.28.00,246951,1793
2021.08.27.00,77371,2021.08.27.00,245158,1841
2021.08.26.00,76814,2021.08.26.00,243317,1882
2021.08.25.00,76245,2021.08.25.00,241439,2155
2021.08.24.00,75570,2021.08.24.00,239287,1509
2021.08.23.00,75136,2021.08.23.00,237782,1418
2021.08.22.00,74749,2021.08.22.00,236366,1628
2021.08.21.00,74251,2021.08.21.00,234739,1880
2021.08.20.00,73725,2021.08.20.00,232859,2052
2021.08.19.00,73169,2021.08.19.00,230808,2152
2021.08.18.00,72594,2021.08.18.00,228657,1805
2021.08.17.00,72086,2021.08.17.00,226854,1373
2021.08.16.00,71720,2021.08.16.00,225481,1556
2021.08.15.00,71358,2021.08.15.00,223928,1817
2021.08.14.00,70870,2021.08.14.00,222111,1930
2021.08.13.00,70355,2021.08.13.00,220182,1990
2021.08.12.00,69831,2021.08.12.00,218192,1987
2021.08.11.00,69306,2021.08.11.00,216206,2223
2021.08.10.00,68646,2021.08.10.00,213987,1540
2021.08.09.00,68287,2021.08.09.00,212448,1492
2021.08.08.00,67872,2021.08.08.00,210956,1729
2021.08.07.00,67422,2021.08.07.00,209228,1823
2021.08.06.00,66919,2021.08.06.00,207406,1704
2021.08.05.00,66455,2021.08.05.00,205702,1776
2021.08.04.00,65989,2021.08.04.00,203926,1725
2021.08.03.00,65503,2021.08.03.00,202203,1202
2021.08.02.00,65193,2021.08.02.00,201002,1219
2021.08.01.00,64832,2021.08.01.00,199787,1442
2021.07.31.00,64359,2021.07.31.00,198345,1539
2021.07.30.00,63883,2021.07.30.00,196806,1710
2021.07.29.00,63396,2021.07.29.00,195099,1674
2021.07.28.00,62881,2021.07.28.00,193427,1896
2021.07.27.00,62308,2021.07.27.00,191531,1365
2021.07.26.00,61957,2021.07.26.00,190166,1318
2021.07.25.00,61616,2021.07.25.00,188848,1487
2021.07.24.00,61128,2021.07.24.00,187362,1629
2021.07.23.00,60663,2021.07.23.00,185733,1630
2021.07.22.00,60143,2021.07.22.00,184103,1842
2021.07.21.00,59644,2021.07.21.00,182265,1784
2021.07.20.00,59040,2021.07.20.00,180481,1278
2021.07.19.00,58646,2021.07.19.00,179203,1252
2021.07.18.00,58227,2021.07.18.00,177951,1454
2021.07.17.00,57704,2021.07.17.00,176500,1455
2021.07.16.00,57142,2021.07.16.00,175046,1536
2021.07.15.00,56573,2021.07.15.00,173511,1600
2021.07.14.00,56053,2021.07.14.00,171911,1615
2021.07.13.00,55415,2021.07.13.00,170296,1150
2021.07.12.00,54998,2021.07.12.00,169146,1100
2021.07.11.00,54595,2021.07.11.00,168046,1324
2021.07.10.00,54086,2021.07.10.00,166722,1378
2021.07.09.00,53577,2021.07.09.00,165344,1316
2021.07.08.00,53074,2021.07.08.00,164028,1275
2021.07.07.00,52524,2021.07.07.00,162753,1212
2021.07.06.00,51941,2021.07.06.00,161541,746
2021.07.05.00,51621,2021.07.05.00,160795,711
2021.07.04.00,51314,2021.07.04.00,160084,743
2021.07.03.00,51026,2021.07.03.00,159342,794
2021.07.02.00,50668,2021.07.02.00,158549,826
2021.07.01.00,50321,2021.07.01.00,157723,762
2021.06.30.00,49987,2021.06.30.00,156961,794
2021.06.29.00,49612,2021.06.29.00,156167,595
2021.06.28.00,49407,2021.06.28.00,155572,501
2021.06.27.00,49222,2021.06.27.00,155071,614
2021.06.26.00,48980,2021.06.26.00,154457,668
2021.06.25.00,48717,2021.06.25.00,153789,634
2021.06.24.00,48448,2021.06.24.00,153155,610
2021.06.23.00,48196,2021.06.23.00,152545,645
2021.06.22.00,47961,2021.06.22.00,151901,395
2021.06.21.00,47829,2021.06.21.00,151506,357
2021.06.20.00,47695,2021.06.20.00,151149,429
2021.06.19.00,47530,2021.06.19.00,150720,482
2021.06.18.00,47333,2021.06.18.00,150238,507
2021.06.17.00,47133,2021.06.17.00,149731,540
2021.06.16.00,46932,2021.06.16.00,149192,545
2021.06.15.00,46732,2021.06.15.00,148647,374
2021.06.14.00,46600,2021.06.14.00,148273,399
2021.06.13.00,46478,2021.06.13.00,147874,452
2021.06.12.00,46302,2021.06.12.00,147422,565
2021.06.11.00,46096,2021.06.11.00,146859,556
2021.06.10.00,45892,2021.06.10.00,146303,611
2021.06.09.00,45679,2021.06.09.00,145692,602
2021.06.08.00,45497,2021.06.08.00,145091,454
2021.06.07.00,45358,2021.06.07.00,144637,485
2021.06.06.00,45199,2021.06.06.00,144152,556
2021.06.05.00,45020,2021.06.05.00,143596,744
2021.06.04.00,44743,2021.06.04.00,142852,695
2021.06.03.00,44537,2021.06.03.00,142157,681
2021.06.02.00,44322,2021.06.02.00,141476,677
2021.06.01.00,44064,2021.06.01.00,140799,459
2021.05.31.00,43917,2021.05.31.00,140340,430
2021.05.30.00,43787,2021.05.30.00,139910,480
2021.05.29.00,43627,2021.05.29.00,139431,533
2021.05.28.00,43433,2021.05.28.00,138898,587
2021.05.27.00,43219,2021.05.27.00,138311,629
2021.05.26.00,43001,2021.05.26.00,137682,707
2021.05.25.00,42739,2021.05.25.00,136983,516
2021.05.24.00,42601,2021.05.24.00,136467,538
2021.05.23.00,42462,2021.05.23.00,135929,585
2021.05.22.00,42281,2021.05.22.00,135344,666
2021.05.21.00,42073,2021.05.21.00,134678,561
2021.05.20.00,41901,2021.05.20.00,134117,646
2021.05.19.00,41659,2021.05.19.00,133471,654
2021.05.18.00,41410,2021.05.18.00,132818,528
2021.05.17.00,41238,2021.05.17.00,132290,619
2021.05.16.00,41043,2021.05.16.00,131671,610
2021.05.15.00,40830,2021.05.15.00,131061,681
2021.05.14.00,40576,2021.05.14.00,130380,747
2021.05.13.00,40345,2021.05.13.00,129633,715
2021.05.12.00,40118,2021.05.12.00,128918,635
2021.05.12.00,40118,2021.05.12.00,128918,635
2021.05.11.00,39895,2021.05.11.00,128283,511
2021.05.10.00,39732,2021.05.10.00,127772,463
2021.05.09.00,39591,2021.05.09.00,127309,564
2021.05.08.00,39396,2021.05.08.00,126745,701
2021.05.07.00,39154,2021.05.07.00,126044,525
2021.05.06.00,38975,2021.05.06.00,125519,574
2021.05.05.00,38763,2021.05.05.00,124945,676
2021.05.04.00,38525,2021.05.04.00,124269,541
2021.05.03.00,38341,2021.05.03.00,123728,488
2021.05.02.00,38214,2021.05.02.00,123240,606
2021.05.01.00,38032,2021.05.01.00,122634,627
2021.04.30.00,37837,2021.04.30.00,122007,661
2021.04.29.00,37610,2021.04.29.00,121351,680
2021.04.28.00,37385,2021.04.28.00,120673,775
2021.04.27.00,37126,2021.04.27.00,119898,512
2021.04.26.00,37010,2021.04.26.00,119387,500
2021.04.25.00,36856,2021.04.25.00,118887,644
2021.04.24.00,36681,2021.04.24.00,118243,785
2021.04.23.00,36428,2021.04.23.00,117458,797
2021.04.22.00,36224,2021.04.22.00,116661,735
2021.04.21.00,35994,2021.04.21.00,115926,731
2021.04.20.00,35776,2021.04.20.00,115195,549
2021.04.19.00,35628,2021.04.19.00,114646,532
2021.04.18.00,35492,2021.04.18.00,114115,672
2021.04.17.00,35287,2021.04.17.00,113444,658
2021.04.16.00,35070,2021.04.16.00,112789,673
2021.04.15.00,34855,2021.04.15.00,112117,698
2021.04.14.00,34638,2021.04.14.00,111419,731
2021.04.13.00,34391,2021.04.13.00,110688,542
2021.04.12.00,34233,2021.04.12.00,110146,587
2021.04.11.00,34071,2021.04.11.00,109559,614
2021.04.10.00,33857,2021.04.10.00,108945,677
2021.04.09.00,33656,2021.04.09.00,108269,671
2021.04.08.00,33441,2021.04.08.00,107598,700
2021.04.07.00,33197,2021.04.07.00,106898,668
2021.04.06.00,32999,2021.04.06.00,106230,478
2021.04.05.00,32852,2021.04.05.00,105752,473
2021.04.04.00,32700,2021.04.04.00,105279,543
2021.04.03.00,32551,2021.04.03.00,104736,543
2021.04.02.00,32397,2021.04.02.00,104194,558
2021.04.01.00,32233,2021.04.01.00,103639,551
2021.03.31.00,32034,2021.03.31.00,103088,506
2021.03.30.00,31876,2021.03.30.00,102582,447
2021.03.29.00,31731,2021.03.29.00,102141,384
